"","COWcode","year","CW_Onset","Fearon and Latin (2003)","Collier and Hoeffler (2004)","Hegre and Sambanis (2006)","Random Forest","Full Logistic Regression","Combined FL + CH","Insurgency","Statistically Significant"
"765",663,2009,0,0.00823336741941169,0.0030848601021186,0.00491124988623483,0.059,2.22044604925031e-16,0.00243300415212771,0.00464962813040224,0.00230319836150317
"766",663,2010,0,0.00837807167149764,0.00319521538236149,0.00501845269165835,0.058,2.22044604925031e-16,0.0025200987463734,0.00476678797745736,0.00237757490279853
"767",663,2011,0,0.00834134496504639,0.00316637884528254,0.00497616728094584,0.059,2.22044604925031e-16,0.00250561838494171,0.0047351712567576,0.00236550678529305
"768",663,2012,0,0.00832453208580402,0.00313754093928485,0.00497727332149425,0.057,2.22044604925031e-16,0.00248217850604311,0.00470469692541841,0.00234605238088645
"769",663,2013,0,0.00830074099087861,0.00318954033730151,0.0049592564926639,0.064,2.22044604925031e-16,0.00251114589002964,0.00475568524403406,0.00237258259537749
"770",663,2014,0,0.00838174484836455,0.00321872370168048,0.00504200343331786,0.059,2.22044604925031e-16,0.00254083298242086,0.00478229075059103,0.00239323548765814
"771",666,2001,0,0.00830486113149814,0.003151952957346,0.00493690327172459,0.064,2.22044604925031e-16,0.00248030435429905,0.00472269468399393,0.00232974665071938
"772",666,2002,0,0.00835932356110171,0.00316971921617643,0.00502474558150175,0.058,2.22044604925031e-16,0.00250062430473394,0.00473243960018752,0.00236677755889479
"773",666,2003,0,0.00829065176510787,0.00315564226687245,0.0049383153424887,0.06,2.22044604925031e-16,0.00248324115025421,0.00471433884076387,0.00234113632394561
"774",666,2004,0,0.0083580403054296,0.00318833948607177,0.00500177035905991,0.066,2.22044604925031e-16,0.00252406454156704,0.00476901121585961,0.00238244541703537
"775",666,2005,0,0.00827632118696746,0.00315640829522356,0.00495002729979459,0.063,2.22044604925031e-16,0.00249672398648225,0.00472200206215936,0.00235987581122487
"776",666,2006,0,0.00819880553022197,0.00296327937575632,0.00486903492072338,0.062,2.22044604925031e-16,0.00233985158165192,0.00452390916488515,0.00220389454714119
"777",666,2007,0,0.00831068993416769,0.00311499770838035,0.0049330894138998,0.059,2.22044604925031e-16,0.00245878336736891,0.00468005505706675,0.00230627051916131
"778",666,2008,0,0.00836441660307174,0.00324886729426144,0.00501026889092787,0.067,2.22044604925031e-16,0.00257572433383867,0.00482298525476815,0.00242870310800844
"779",666,2009,0,0.00834402548130847,0.00318088998280106,0.00500701759686708,0.061,2.22044604925031e-16,0.0025144836150854,0.00475350520125505,0.00237459015559643
"780",666,2010,0,0.00836708625419929,0.00321066790093781,0.0049728282898747,0.069,2.22044604925031e-16,0.00253554597499143,0.0047981838960004,0.00238039439660131
